epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,2016.85,1.29568,0.85382,1.1086,0.85046,0.83622,0.90972,0.62953,1.10784,0.78006,1.23945,0.0092795,0.0092795,0.0092795
133,2032.04,1.29713,0.83476,1.12754,0.84601,0.80684,0.89039,0.60749,1.1062,0.80549,1.21006,0.009274,0.009274,0.009274
134,2047.36,1.31948,0.83973,1.13785,0.8503,0.81378,0.90011,0.6159,1.12198,0.80762,1.18726,0.0092685,0.0092685,0.0092685
135,2062.58,1.29925,0.8445,1.12483,0.84881,0.85399,0.91022,0.6295,1.09052,0.7755,1.16889,0.009263,0.009263,0.009263
136,2077.79,1.2874,0.82997,1.09315,0.84056,0.82272,0.90137,0.61984,1.12961,0.81573,1.19009,0.0092575,0.0092575,0.0092575
137,2092.96,1.26351,0.85522,1.10848,0.90367,0.79421,0.90483,0.63371,1.09208,0.76433,1.17249,0.009252,0.009252,0.009252
138,2108.14,1.29712,0.81632,1.13803,0.90373,0.81619,0.91122,0.63516,1.04611,0.74969,1.12788,0.0092465,0.0092465,0.0092465
139,2123.31,1.3093,0.84385,1.11369,0.85779,0.84881,0.88884,0.62141,1.06276,0.77047,1.13787,0.009241,0.009241,0.009241
140,2138.69,1.30884,0.83858,1.14032,0.86187,0.83242,0.89249,0.61789,1.08457,0.77593,1.18261,0.0092355,0.0092355,0.0092355
141,2153.92,1.29341,0.85291,1.1014,0.85554,0.82393,0.90911,0.63442,1.05998,0.76981,1.1222,0.00923,0.00923,0.00923
142,2169.13,1.3158,0.85001,1.10897,0.84051,0.83328,0.89267,0.63667,1.06493,0.77436,1.13746,0.0092245,0.0092245,0.0092245
143,2184.34,1.29555,0.84777,1.13013,0.84687,0.84939,0.90535,0.64736,1.0448,0.79355,1.14041,0.009219,0.009219,0.009219
144,2199.62,1.28943,0.86216,1.1126,0.87889,0.8245,0.91023,0.6389,1.06777,0.78733,1.14369,0.0092135,0.0092135,0.0092135
145,2214.85,1.28001,0.85972,1.14655,0.86635,0.83403,0.89985,0.6377,1.05738,0.82567,1.14923,0.009208,0.009208,0.009208
146,2230.2,1.27438,0.82187,1.1103,0.89911,0.80569,0.90781,0.63649,1.07533,0.76164,1.13402,0.0092025,0.0092025,0.0092025
147,2245.4,1.29606,0.83353,1.12839,0.8581,0.83695,0.90267,0.60185,1.09445,0.78891,1.13207,0.009197,0.009197,0.009197
148,2260.61,1.26636,0.81249,1.10124,0.85602,0.87064,0.93143,0.65087,1.05561,0.75518,1.14437,0.0091915,0.0091915,0.0091915
149,2275.87,1.28357,0.82863,1.13352,0.84276,0.85755,0.91124,0.64112,1.0324,0.75405,1.13265,0.009186,0.009186,0.009186
150,2291.09,1.29363,0.83355,1.09858,0.83431,0.86931,0.91523,0.63937,1.06695,0.77475,1.15308,0.0091805,0.0091805,0.0091805
151,2306.43,1.28753,0.80622,1.09366,0.83131,0.81747,0.90096,0.65598,1.05838,0.80022,1.11605,0.009175,0.009175,0.009175
152,2321.69,1.2898,0.81027,1.12642,0.82731,0.86414,0.90245,0.62834,1.08788,0.80661,1.16107,0.0091695,0.0091695,0.0091695
153,2336.89,1.28887,0.82856,1.08686,0.84282,0.84598,0.89868,0.63863,1.05125,0.77209,1.13381,0.009164,0.009164,0.009164
154,2352.06,1.28429,0.83381,1.12626,0.85289,0.86963,0.91067,0.6461,1.03667,0.76419,1.21657,0.0091585,0.0091585,0.0091585
155,2367.28,1.2493,0.81774,1.09546,0.8744,0.8577,0.91404,0.65064,1.03861,0.77032,1.13327,0.009153,0.009153,0.009153
156,2382.44,1.28272,0.8268,1.11677,0.85461,0.83762,0.9179,0.64364,1.04954,0.75725,1.17415,0.0091475,0.0091475,0.0091475
157,2397.74,1.24812,0.8052,1.1113,0.87581,0.83245,0.90924,0.64855,0.98877,0.73941,1.14175,0.009142,0.009142,0.009142
158,2412.93,1.25812,0.84789,1.12533,0.88097,0.82603,0.9169,0.63352,1.0757,0.76302,1.14856,0.0091365,0.0091365,0.0091365
159,2428.12,1.25061,0.82796,1.11472,0.86034,0.85735,0.91341,0.64422,1.06325,0.75657,1.16007,0.009131,0.009131,0.009131
160,2443.27,1.26011,0.82797,1.09915,0.88651,0.82663,0.91738,0.64173,1.06954,0.76345,1.16564,0.0091255,0.0091255,0.0091255
161,2458.45,1.26346,0.82634,1.10715,0.90508,0.79393,0.91372,0.64875,1.05254,0.76772,1.13837,0.00912,0.00912,0.00912
162,2473.79,1.2823,0.85769,1.16595,0.8716,0.82848,0.90731,0.63801,1.08406,0.78305,1.15405,0.0091145,0.0091145,0.0091145
163,2488.97,1.25604,0.83846,1.11885,0.88988,0.81914,0.91068,0.63163,1.06262,0.78143,1.20001,0.009109,0.009109,0.009109
164,2504.12,1.25616,0.87163,1.09421,0.86109,0.82699,0.91164,0.64729,1.07138,0.77088,1.15905,0.0091035,0.0091035,0.0091035
165,2519.32,1.26005,0.81948,1.08897,0.84071,0.86795,0.91208,0.66223,1.01322,0.74919,1.14994,0.009098,0.009098,0.009098
166,2534.57,1.23488,0.79938,1.09671,0.86955,0.83199,0.91235,0.65765,1.0147,0.7573,1.1708,0.0090925,0.0090925,0.0090925
167,2549.76,1.27859,0.82943,1.0937,0.89608,0.85043,0.92684,0.63638,1.02123,0.72956,1.15487,0.009087,0.009087,0.009087
168,2565.07,1.28727,0.84734,1.1099,0.91407,0.84036,0.92465,0.65507,1.00918,0.72072,1.1273,0.0090815,0.0090815,0.0090815
169,2580.26,1.31021,0.8577,1.11613,0.87242,0.86309,0.91907,0.65223,1.0078,0.7372,1.1377,0.009076,0.009076,0.009076
170,2595.46,1.27387,0.8131,1.10734,0.85579,0.88062,0.91899,0.65459,1.01087,0.7282,1.11112,0.0090705,0.0090705,0.0090705
171,2610.64,1.25539,0.81161,1.10192,0.7863,0.89948,0.90919,0.62883,1.05796,0.77522,1.17527,0.009065,0.009065,0.009065
172,2625.83,1.29595,0.8492,1.09909,0.84557,0.84594,0.92208,0.63626,1.04539,0.76119,1.14137,0.0090595,0.0090595,0.0090595
173,2641,1.24947,0.78889,1.06784,0.88856,0.84311,0.9251,0.65028,1.00917,0.75506,1.17926,0.009054,0.009054,0.009054
174,2656.36,1.26431,0.81571,1.12495,0.85599,0.84443,0.91118,0.64991,1.02745,0.75152,1.15593,0.0090485,0.0090485,0.0090485
175,2671.51,1.24612,0.81398,1.10918,0.87286,0.80223,0.90179,0.63841,1.04392,0.78576,1.15574,0.009043,0.009043,0.009043
