epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,4467.83,1.53709,1.13485,1.14318,0.68777,0.66718,0.70442,0.44424,0.97325,0.91324,0.88293,0.00983566,0.00983566,0.00983566
85,4520.76,1.63325,1.20237,1.16905,0.76976,0.64117,0.71346,0.44591,1.01183,0.91138,0.9037,0.00983368,0.00983368,0.00983368
86,4573.74,1.58376,1.18808,1.17709,0.7514,0.66213,0.72052,0.45041,0.97333,0.8742,0.87499,0.0098317,0.0098317,0.0098317
87,4626.59,1.62601,1.15943,1.14904,0.69152,0.66274,0.68338,0.42512,0.97861,0.93614,0.88893,0.00982972,0.00982972,0.00982972
88,4679.57,1.59402,1.13509,1.17149,0.72959,0.6537,0.70107,0.43843,0.94869,0.90862,0.87688,0.00982774,0.00982774,0.00982774
89,4732.47,1.62038,1.17314,1.16585,0.75695,0.66172,0.71731,0.44344,0.97179,0.89699,0.89656,0.00982576,0.00982576,0.00982576
90,4785.58,1.6497,1.225,1.19487,0.7535,0.6702,0.71261,0.43951,0.94122,0.90579,0.88548,0.00982378,0.00982378,0.00982378
91,4838.56,1.59315,1.17278,1.19083,0.71404,0.67719,0.70854,0.44695,0.97475,0.88882,0.89135,0.0098218,0.0098218,0.0098218
92,4891.6,1.59609,1.15666,1.18325,0.70972,0.68963,0.72278,0.45862,0.96608,0.8968,0.92441,0.00981982,0.00981982,0.00981982
93,4945.35,1.5662,1.19824,1.14087,0.75362,0.67018,0.726,0.47146,0.93506,0.87,0.88772,0.00981784,0.00981784,0.00981784
94,4999.18,1.57546,1.20185,1.17179,0.72002,0.67507,0.72346,0.45767,0.92643,0.8918,0.88484,0.00981586,0.00981586,0.00981586
95,5052.14,1.56627,1.18329,1.14506,0.73228,0.67811,0.73452,0.47235,0.93623,0.8645,0.87319,0.00981388,0.00981388,0.00981388
96,5105.97,1.56218,1.15635,1.16888,0.72848,0.69117,0.7303,0.46102,0.92475,0.88282,0.87244,0.0098119,0.0098119,0.0098119
