matched,gt_class,gt_lat,gt_lon,dt_class,dt_lat,dt_lon
False,,,,1.0,41.5045554,9.31479419
False,,,,1.0,41.36503205,9.21064297
False,,,,1.0,41.52677053,9.31437228
False,,,,1.0,41.43235752,9.24039984
False,,,,1.0,41.37047971,9.23183588
False,,,,1.0,41.60004989,9.30430995
False,,,,1.0,41.56442043,9.35877113
False,,,,1.0,41.35866472,9.18191739
False,,,,1.0,41.62568772,9.36236579
False,,,,1.0,41.5320719,9.31757993
False,,,,1.0,41.37764235,9.15120365
False,,,,1.0,41.60694352,9.33015912
False,,,,1.0,41.46666441,9.29430314
False,,,,1.0,41.6587511,9.39235165
False,,,,1.0,41.45344164,9.28948164
False,,,,1.0,41.42972625,9.09873874
False,,,,1.0,41.60734214,9.31699903
False,,,,1.0,41.52771977,9.30546086
False,,,,1.0,41.41025547,9.09008565
False,,,,1.0,41.59737013,9.37273987
False,,,,1.0,41.65148419,9.38901776
False,,,,1.0,41.54417921,9.32013831
False,,,,1.0,41.38511601,9.13390572
False,,,,1.0,41.36488819,9.21662536
False,,,,1.0,41.5134657,9.29029336
False,,,,1.0,41.42771462,9.25020704
False,,,,1.0,41.61098832,9.32064025
False,,,,1.0,41.59907501,9.30413437
False,,,,1.0,41.72284503,9.4114113
False,,,,1.0,41.39160354,9.24216223
False,,,,1.0,41.37361889,9.15964508
False,,,,1.0,41.46669262,9.27790591
False,,,,1.0,41.3789993,9.23727088
False,,,,1.0,41.30546486,9.30559949
False,,,,1.0,41.58525141,9.36825048
False,,,,1.0,41.60669931,9.29703958
False,,,,1.0,41.55512226,9.34286412
False,,,,1.0,41.36234746,9.19507662
False,,,,1.0,41.36692227,9.22955965
False,,,,1.0,41.61511032,9.36464868
False,,,,1.0,41.6050832,9.33594379
False,,,,1.0,41.52004747,9.33749402
False,,,,1.0,41.54049651,9.30471266
False,,,,1.0,41.6008789,9.30588884
False,,,,1.0,41.45539862,9.27140013
False,,,,1.0,41.75111737,9.41279887
False,,,,1.0,41.6064296,9.33408185
False,,,,1.0,41.42920524,9.26617149
False,,,,1.0,41.6228948,9.38240018
