matched,gt_class,gt_lat,gt_lon,dt_class,dt_lat,dt_lon
False,1.0,41.42295,9.088346,,,
False,1.0,41.62956,9.371745,,,
False,0.0,41.46975,9.268633,,,
False,1.0,41.39146,9.064687,,,
False,0.0,41.38886,9.16,,,
False,1.0,41.3467,9.252493,,,
False,0.0,41.33875,9.252707,,,
False,0.0,41.3888,9.16096,,,
False,1.0,41.37825,9.062407,,,
False,0.0,41.34508,9.252717,,,
False,1.0,41.33096,9.320425,,,
False,1.0,41.71519,9.458689,,,
False,1.0,41.52738,9.322828,,,
False,1.0,41.32268,9.183853,,,
False,1.0,41.47452,9.071631,,,
False,0.0,41.3634,9.258507,,,
False,0.0,41.38865,9.158597,,,
False,1.0,41.52327,9.300917,,,
False,1.0,41.31795,9.336068,,,
False,1.0,41.37047,9.15461,,,
False,0.0,41.47409,9.072615,,,
False,1.0,41.43531,9.103688,,,
False,1.0,41.63545,9.356818,,,
False,1.0,41.31799,9.1453,,,
False,1.0,41.33703,9.27497,,,
False,1.0,41.46982,9.065895,,,
False,1.0,41.33909,9.157175,,,
False,0.0,41.38878,9.159516,,,
False,1.0,41.38849,9.161585,,,
False,1.0,41.3203,9.165399,,,
False,,,,1.0,41.780695,9.400414
False,,,,0.0,41.618379,9.316346
False,,,,1.0,41.552464,9.341446
False,,,,1.0,41.388643,9.084384
False,,,,1.0,41.662657,9.38731
False,,,,0.0,41.428351,9.228054
False,,,,1.0,41.618482,9.311425
False,,,,1.0,41.598765,9.308331
False,,,,1.0,41.430509,9.271388
False,,,,0.0,41.502267,9.284748
False,,,,1.0,41.36634,9.247088
False,,,,1.0,41.344878,9.295177
False,,,,1.0,41.455293,9.486289
False,,,,0.0,41.620367,9.314075
False,,,,1.0,41.595903,9.300518
False,,,,1.0,41.696629,9.408906
False,,,,1.0,41.602534,9.37363
False,,,,1.0,41.61247,9.335281
False,,,,1.0,41.356547,9.275623
False,,,,1.0,41.764806,9.410782
False,,,,1.0,41.418069,9.234839
False,,,,1.0,41.636247,9.392915
False,,,,0.0,41.364721,9.246006
False,,,,1.0,41.724451,9.411727
False,,,,1.0,41.343375,9.197876
False,,,,1.0,41.466662,9.412008
False,,,,1.0,41.332674,9.235966
False,,,,1.0,41.433276,9.281932
False,,,,1.0,41.60804,9.341018
False,,,,1.0,41.348299,9.214984
False,,,,1.0,41.641145,9.382739
False,,,,1.0,41.606061,9.36945
False,,,,1.0,41.762285,9.410646
False,,,,1.0,41.375053,9.158748
False,,,,1.0,41.332335,9.267634
False,,,,1.0,41.580673,9.365467
False,,,,1.0,41.387733,9.096224
False,,,,1.0,41.40089,9.089066
False,,,,1.0,41.348725,9.305235
False,,,,1.0,41.551833,9.341562
False,,,,1.0,41.493338,9.289261
False,,,,1.0,41.588321,9.368029
False,,,,1.0,41.65418,9.390502
False,,,,1.0,41.666224,9.398022
False,,,,1.0,41.329723,9.267384
False,,,,1.0,41.560091,9.35108
False,,,,1.0,41.396027,9.087504
False,,,,1.0,41.358264,9.231994
False,,,,1.0,41.612682,9.354845
False,,,,1.0,41.331948,9.238832
False,,,,1.0,41.521989,9.286272
False,,,,1.0,41.601758,9.362946
False,,,,1.0,41.377823,9.097525
False,,,,1.0,41.606622,9.300327
False,,,,0.0,41.380131,9.131493
False,,,,1.0,41.59788,9.302447
False,,,,0.0,41.606241,9.340169
False,,,,1.0,41.572222,9.360381
False,,,,1.0,41.656161,9.390634
False,,,,1.0,41.319456,9.224687
False,,,,1.0,41.601894,9.376507
False,,,,1.0,41.68034,9.378646
False,,,,1.0,41.588985,9.38519
False,,,,0.0,41.364798,9.252104
False,,,,1.0,41.554073,9.345411
False,,,,1.0,41.323515,9.333795
False,,,,1.0,41.30553,9.205407
False,,,,0.0,41.430872,9.22902
False,,,,0.0,41.685356,9.387086
False,,,,1.0,41.552308,9.333051
False,,,,0.0,41.366414,9.254262
False,,,,1.0,41.607986,9.295533
False,,,,1.0,41.721205,9.412668
False,,,,0.0,41.609683,9.333466
False,,,,1.0,41.355734,9.187154
False,,,,0.0,41.362894,9.257477
False,,,,0.0,41.618582,9.307705
False,,,,1.0,41.363451,9.204632
False,,,,1.0,41.383638,9.137121
False,,,,1.0,41.612807,9.311758
False,,,,1.0,41.652468,9.390732
False,,,,1.0,41.335638,9.24016
False,,,,1.0,41.50653,9.308132
False,,,,1.0,41.610474,9.340311
False,,,,1.0,41.352142,9.179851
False,,,,1.0,41.564401,9.355301
False,,,,1.0,41.645812,9.38781
False,,,,1.0,41.751392,9.409012
False,,,,1.0,41.452795,9.054655
False,,,,1.0,41.674159,9.395428
False,,,,1.0,41.603995,9.306075
False,,,,1.0,41.575126,9.35344
False,,,,0.0,41.543194,9.306508
False,,,,1.0,41.48007,9.299742
False,,,,1.0,41.523939,9.331587
False,,,,1.0,41.385164,9.247877
False,,,,1.0,41.614668,9.353296
False,,,,1.0,41.363364,9.20248
False,,,,1.0,41.610305,9.33671
False,,,,0.0,41.618071,9.359916
False,,,,1.0,41.430186,9.25499
False,,,,1.0,41.372367,9.146664
False,,,,1.0,41.434114,9.229152
False,,,,0.0,41.43024,9.229617
False,,,,1.0,41.35287,9.17543
False,,,,1.0,41.333805,9.255092
False,,,,1.0,41.339367,9.264914
False,,,,0.0,41.381481,9.132931
False,,,,1.0,41.551293,9.341319
False,,,,1.0,41.495769,9.289511
False,,,,0.0,41.513409,9.295222
False,,,,1.0,41.628152,9.362013
False,,,,1.0,41.400708,9.464229
False,,,,1.0,41.570519,9.357613
False,,,,0.0,41.714103,9.409016
False,,,,1.0,41.765977,9.410789
False,,,,1.0,41.536616,9.339804
False,,,,1.0,41.604625,9.367762
False,,,,1.0,41.52989,9.296256
False,,,,1.0,41.361855,9.189323
False,,,,0.0,41.505522,9.279609
False,,,,1.0,41.601767,9.360066
False,,,,1.0,41.304128,9.273133
False,,,,1.0,41.384792,9.253258
False,,,,1.0,41.407101,9.266624
False,,,,1.0,41.345441,9.247726
False,,,,1.0,41.338998,9.268856
False,,,,1.0,41.351849,9.241415
False,,,,1.0,41.578436,9.360776
False,,,,1.0,41.373467,9.130164
False,,,,1.0,41.358688,9.198281
False,,,,0.0,41.407301,9.065505
False,,,,0.0,41.564058,9.349782
False,,,,0.0,41.680067,9.379605
False,,,,1.0,41.61071,9.351594
False,,,,1.0,41.606139,9.373051
False,,,,0.0,41.607703,9.333216
False,,,,0.0,41.595028,9.290674
False,,,,1.0,41.597465,9.288525
False,,,,1.0,41.622361,9.309403
False,,,,1.0,41.575748,9.356083
False,,,,1.0,41.389984,9.097304
False,,,,1.0,41.621096,9.310838
False,,,,1.0,41.762734,9.411009
False,,,,1.0,41.621268,9.313959
False,,,,1.0,41.621725,9.311441
False,,,,1.0,41.491534,9.290091
False,,,,1.0,41.417176,9.231126
False,,,,1.0,41.602451,9.37147
False,,,,1.0,41.629782,9.359261
False,,,,1.0,41.535615,9.311267
False,,,,1.0,41.384632,9.283157
False,,,,1.0,41.50608,9.30801
False,,,,0.0,41.361323,9.184181
False,,,,1.0,41.602204,9.302107
False,,,,1.0,41.604433,9.342439
False,,,,1.0,41.317971,9.137701
False,,,,0.0,41.458788,9.273422
False,,,,1.0,41.606443,9.332849
False,,,,1.0,41.304104,9.196682
False,,,,1.0,41.379651,9.15565
False,,,,0.0,41.365789,9.251629
False,,,,1.0,41.434025,9.270206
False,,,,1.0,41.5627,9.352173
False,,,,0.0,41.614049,9.349692
False,,,,0.0,41.502717,9.28463
