class_id,latitude,longitude,confidence,length,breadth,heading
0,41.92740409,8.75573024,0.661,15.1,5.5,48.0
0,41.90511994,8.6793018,0.658,6.8,4.9,72.0
0,42.11141318,8.69058995,0.657,6.2,4.4,79.0
0,41.93136468,8.74785214,0.657,7.0,3.8,72.0
0,41.93239918,8.74588486,0.655,6.2,4.0,81.0
0,42.11350654,8.68892825,0.655,4.8,3.8,82.0
0,42.11336301,8.69007367,0.655,7.4,3.8,80.0
0,42.11163005,8.70013049,0.654,5.9,4.1,80.0
0,42.11290232,8.6891245,0.654,6.1,4.2,80.0
0,41.99175612,8.66492883,0.653,5.4,5.2,170.0
0,42.11373311,8.69053789,0.653,6.5,3.8,82.0
0,41.93039682,8.7464176,0.652,27.5,6.5,72.0
0,42.11230013,8.68989184,0.651,6.8,4.3,70.0
0,41.93217034,8.7474356,0.65,9.6,4.3,68.0
0,42.11330532,8.68891967,0.648,6.4,4.7,82.0
0,42.04156939,8.73861627,0.648,6.8,4.5,166.0
1,42.07267029,8.70082256,0.647,49.4,14.1,136.0
0,41.93036761,8.74761494,0.646,8.7,4.8,72.0
0,42.11317802,8.68984213,0.645,6.9,4.9,74.0
0,42.04248009,8.73796715,0.644,6.0,4.8,163.0
0,42.11402158,8.69466821,0.643,10.7,3.6,72.0
0,41.92784578,8.75528026,0.641,11.7,4.9,56.0
0,41.93268706,8.74608671,0.64,6.5,4.6,82.0
0,41.9260827,8.7730363,0.639,7.5,4.4,61.0
0,41.93285116,8.74532864,0.636,5.8,4.5,81.0
0,41.91720473,8.75527544,0.635,25.7,8.6,174.0
0,41.99261945,8.66636977,0.633,5.5,5.0,84.0
0,42.04192484,8.73779985,0.632,5.3,5.2,170.0
0,41.93136693,8.74743751,0.631,9.2,4.5,76.0
0,41.93099558,8.74675079,0.629,9.9,3.8,64.0
0,42.11263733,8.68879148,0.628,5.9,4.0,79.0
0,41.91133929,8.72380637,0.628,6.7,4.6,69.0
0,41.93236951,8.74673105,0.627,8.8,4.1,78.0
0,42.11355683,8.69053818,0.626,5.8,3.5,82.0
0,41.93303013,8.7461538,0.626,5.2,3.8,81.0
0,42.11033325,8.69819258,0.626,7.1,3.7,75.0
0,41.99192019,8.66453211,0.625,6.6,4.2,174.0
0,42.04283923,8.73288047,0.623,10.3,4.6,177.0
0,42.04063478,8.73622039,0.622,6.6,4.7,163.0
0,41.90534131,8.67869137,0.622,6.7,3.7,81.0
0,41.92745464,8.7713031,0.621,5.9,4.7,74.0
1,42.05422178,8.73190123,0.621,74.7,19.6,97.0
0,42.04349737,8.73554253,0.618,7.4,3.6,169.0
0,41.99368194,8.66556394,0.618,4.4,4.1,80.0
0,41.91096017,8.72416861,0.617,6.2,5.1,73.0
0,41.9926007,8.66658692,0.616,7.7,5.7,87.0
0,41.9272686,8.7713527,0.614,5.2,4.0,81.0
0,41.93134898,8.74476351,0.611,8.1,3.4,82.0
0,41.9263,8.77058508,0.61,8.6,3.9,81.0
0,42.11334313,8.69025002,0.61,7.6,4.1,82.0
0,42.04238405,8.73838245,0.61,5.4,5.0,167.0
0,41.95135951,8.60642507,0.609,12.4,7.8,169.0
0,41.93162885,8.74502222,0.609,7.0,3.4,82.0
0,41.92615219,8.7696026,0.608,8.8,4.6,62.0
0,42.04300015,8.73709447,0.607,7.0,4.0,169.0
0,41.99284866,8.66623944,0.605,5.5,4.5,166.0
0,41.93204367,8.74651216,0.603,7.3,3.5,78.0
0,42.1100849,8.6903943,0.6,5.8,5.1,79.0
0,41.93035465,8.74559657,0.599,8.8,4.5,79.0
0,41.93251773,8.7454702,0.599,6.4,4.4,73.0
0,42.04213025,8.73692766,0.594,7.0,3.9,169.0
1,42.12296325,8.57690567,0.593,107.6,19.6,156.0
0,41.9327316,8.74845841,0.592,7.1,3.7,82.0
0,41.92743852,8.74180302,0.592,8.8,3.2,53.0
0,42.06420173,8.73610425,0.592,6.6,3.9,84.0
0,41.93645083,8.587893,0.592,179.4,47.0,98.0
0,41.9269398,8.7711457,0.59,6.1,3.9,81.0
0,41.92541305,8.77353664,0.59,7.2,6.2,176.0
0,42.11224134,8.69024192,0.589,6.1,3.6,78.0
0,41.93239202,8.7460826,0.589,7.2,4.5,81.0
0,42.06409944,8.73662214,0.589,5.8,4.8,82.0
0,42.04231517,8.73608622,0.587,8.2,4.7,166.0
0,41.93294117,8.74748169,0.586,6.5,3.7,82.0
0,41.92548369,8.74154852,0.586,167.9,38.1,176.0
0,41.96913879,8.6337169,0.585,12.0,4.6,142.0
0,41.99276979,8.66557587,0.585,4.8,4.7,171.0
0,41.90636493,8.67833249,0.584,5.4,3.8,81.0
0,41.993469,8.66535164,0.584,5.1,4.3,80.0
0,41.92894993,8.74766527,0.582,10.3,3.4,72.0
0,41.93272064,8.74525273,0.578,6.3,3.6,79.0
0,41.90620697,8.67960676,0.578,6.2,4.4,81.0
0,41.93080664,8.74594885,0.576,9.1,5.0,75.0
0,41.92728905,8.77106201,0.575,4.8,3.4,81.0
0,41.92681835,8.77088777,0.572,5.9,4.0,80.0
0,42.04276886,8.73692955,0.568,7.2,4.1,175.0
0,41.93164732,8.74412169,0.566,7.8,3.6,82.0
1,42.10797017,8.69651913,0.565,46.8,13.5,63.0
0,42.14520867,8.58916109,0.564,7.0,4.5,180.0
0,41.93302827,8.7458626,0.562,5.6,4.2,81.0
0,42.04187385,8.73814412,0.56,5.7,5.7,80.0
1,42.07232563,8.57128968,0.559,98.2,13.6,94.0
0,42.04393734,8.73557565,0.558,11.8,4.5,160.0
0,41.93270886,8.74801043,0.551,4.9,4.9,169.0
0,41.99252649,8.66622662,0.551,5.6,5.2,70.0
0,41.98677474,8.62496976,0.55,16.0,7.9,141.0
0,42.04295166,8.73749191,0.55,5.8,4.3,163.0
0,41.92383684,8.77642747,0.549,15.7,4.4,45.0
0,41.92992942,8.74547215,0.549,20.5,6.7,146.0
0,42.11402019,8.69063239,0.547,6.9,3.7,82.0
0,42.1133479,8.68965391,0.546,7.9,4.1,82.0
0,42.109293,8.69116566,0.541,6.0,3.6,79.0
0,41.92762655,8.74242993,0.541,10.1,4.6,60.0
0,41.93213274,8.74537605,0.54,9.3,4.7,74.0
0,42.11282054,8.68948848,0.538,6.5,4.3,80.0
0,41.92191133,8.78049729,0.537,10.5,4.9,131.0
0,42.11392301,8.69110241,0.537,6.6,3.4,82.0
0,41.93262721,8.74693967,0.533,12.3,4.3,77.0
0,41.93142471,8.74501281,0.532,7.4,3.6,82.0
0,41.93258725,8.74483863,0.532,7.1,4.4,71.0
0,42.11107563,8.69034286,0.529,9.5,4.2,77.0
1,42.07277172,8.57189106,0.529,143.0,15.0,98.0
0,41.9328806,8.74564213,0.527,5.2,3.6,81.0
0,41.92717448,8.74261206,0.526,14.4,4.9,78.0
0,41.93203251,8.7472383,0.523,9.2,3.8,71.0
0,41.99333337,8.66520614,0.522,5.3,4.8,70.0
0,41.92415702,8.74107682,0.522,72.9,20.7,173.0
0,41.96904309,8.63492104,0.521,5.8,4.7,85.0
0,42.11358986,8.69113675,0.521,6.9,3.9,82.0
0,42.06393622,8.73496189,0.521,5.4,5.0,167.0
0,41.90674266,8.67922099,0.52,4.9,4.7,77.0
0,41.93183968,8.74667925,0.52,10.7,3.6,77.0
0,41.92823017,8.75105499,0.519,13.3,5.0,127.0
0,42.0643617,8.73453433,0.518,6.1,4.8,166.0
0,42.04208544,8.73734488,0.517,6.5,4.8,168.0
