class_id,latitude,longitude,confidence,length,breadth,heading
0,42.06418909,8.73610411,0.864,24.2,23.9,87.0
0,42.11350688,8.6902893,0.863,22.5,21.5,178.0
0,41.9320259,8.74504229,0.861,21.9,20.7,174.0
0,42.08056939,8.69190447,0.861,30.2,30.2,178.0
0,42.11416434,8.6899633,0.86,22.9,22.5,177.0
0,41.90489306,8.70677745,0.86,29.4,29.2,177.0
0,41.90620377,8.679615,0.86,24.1,23.8,177.0
0,42.11306524,8.68883438,0.86,23.5,23.0,175.0
0,41.90661971,8.67956155,0.859,25.4,24.7,87.0
0,41.93181832,8.74608852,0.859,22.2,21.9,86.0
0,41.90633564,8.67805165,0.859,23.8,23.7,89.0
0,42.04166754,8.73928954,0.858,21.7,21.6,86.0
0,42.01852641,8.58094232,0.858,28.0,28.0,177.0
0,41.92663724,8.77105951,0.858,23.6,23.2,175.0
0,41.93299414,8.7471397,0.858,23.7,23.1,170.0
0,41.92730774,8.7550877,0.858,24.3,24.2,174.0
0,41.9113296,8.72382153,0.857,24.2,24.1,86.0
0,42.11116985,8.6989669,0.856,23.0,22.3,86.0
0,42.04389062,8.73274438,0.856,22.5,22.1,176.0
0,42.11359142,8.69112881,0.856,22.4,22.4,177.0
0,41.99298111,8.66661081,0.856,23.6,23.1,176.0
0,41.926013,8.77119802,0.855,23.9,23.7,176.0
0,41.99192444,8.66453108,0.855,24.4,24.0,175.0
0,42.11373209,8.69051738,0.854,22.4,22.3,178.0
0,41.96914168,8.63374607,0.853,24.7,24.5,177.0
0,42.14520129,8.58915295,0.853,26.0,25.7,87.0
0,42.06359805,8.73480353,0.853,23.4,23.0,178.0
0,41.95179359,8.60648284,0.852,25.8,25.5,86.0
0,42.11095794,8.69057567,0.852,22.8,22.7,83.0
0,41.92727253,8.77134108,0.851,22.7,22.3,177.0
0,41.93244078,8.74763419,0.851,22.0,22.0,85.0
0,41.93177346,8.74523159,0.851,21.7,21.3,174.0
0,41.9330122,8.74922038,0.85,24.1,24.0,87.0
0,42.11163123,8.70014112,0.849,23.4,22.6,175.0
0,41.92540808,8.773544,0.849,25.6,25.3,177.0
0,42.11316514,8.68984383,0.849,23.1,23.0,79.0
0,41.93271476,8.74801022,0.848,23.6,23.5,88.0
0,42.11402582,8.69064809,0.848,22.9,22.8,177.0
0,42.04283717,8.73288274,0.847,22.6,22.1,177.0
0,42.04230242,8.73608904,0.846,22.1,21.7,176.0
0,42.11033512,8.69818679,0.845,22.8,22.8,85.0
0,42.11056909,8.68870804,0.844,23.2,23.1,80.0
0,41.92383121,8.77643834,0.844,26.3,26.0,87.0
0,42.10847075,8.69111277,0.843,26.0,26.0,88.0
0,42.04277966,8.73785404,0.843,22.5,22.0,86.0
0,41.99319985,8.66630807,0.843,22.9,22.6,86.0
0,42.05697481,8.59852322,0.842,30.0,29.6,178.0
0,42.04350422,8.73553622,0.841,21.7,20.8,87.0
0,41.95137017,8.60643354,0.841,26.7,26.3,178.0
0,41.93159719,8.75094791,0.84,23.7,23.6,175.0
0,41.92709672,8.77121566,0.839,23.1,22.6,177.0
