class_id,latitude,longitude,confidence,length,breadth,heading,date,aoi_id,source
1,41.90400992,8.68508428,0.608,60.3,15.1,180.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,42.05111423,8.73541395,0.6,86.3,15.9,95.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.83556976,8.76003018,0.6,141.8,16.1,164.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.81501715,8.71894383,0.599,64.3,20.0,133.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.9585265,8.59023202,0.596,90.6,14.3,93.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.84983728,8.77039425,0.59,44.2,10.5,82.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.90847295,8.73756054,0.589,97.9,25.6,35.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.91659052,8.74640971,0.581,71.7,16.1,76.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,42.04449751,8.73154399,0.578,37.8,9.8,132.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.81027417,8.74071295,0.573,28.4,6.8,76.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.91669183,8.74711474,0.57,65.9,16.8,75.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.81318555,8.76703668,0.557,51.7,9.0,118.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.87849992,8.76737347,0.553,62.2,12.1,53.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.8808966,8.7585976,0.54,87.2,20.5,77.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.8320384,8.7673014,0.533,149.1,15.0,130.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
